조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,남해,신항연안,17.25,16.68,32.25,32.7,8.17,8.17,8.06,7.32,1.73,1.62,52.95,46.36,10.04,8.71,191.35,106.97,254.33,162.03,375.5,267.84,14.29,13.09,24.53,24.96,348.79,327.77,9.78,11.39,1.88,2.03,1.58
2017,남해,행암만,17.77,17.3,31.58,32.02,8.31,8.24,9.76,8.36,2.12,2.27,163.42,104.47,14.37,4.56,41.33,13.9,219.11,122.93,434.41,312.37,10.03,8.81,30.55,24.93,108.82,117.5,6.54,9.31,6.09,5.46,2.64
2017,남해,마산만,17.03,16.47,30.71,31.81,8.24,8.18,8.62,7.16,2.27,2.42,64.87,64.36,5.92,4.68,73.64,29.24,144.43,98.28,332.09,298.94,11.62,11.63,31.99,29.62,526.9,316.32,7.71,8.05,5.13,4.59,3.17
2017,남해,진해만,17.64,15.93,31.89,32.72,8.19,8.09,8.42,7.15,1.85,1.82,15.47,14.45,3.66,5.17,14.17,19.26,33.3,38.88,166.86,173.68,11.06,12.36,20.35,22.22,267.45,410.86,5.16,7.58,1.71,1.91,5.53
2017,남해,거제도동안,18.06,14.96,33.08,33.97,8.21,8.11,8.31,7.12,1.32,1.65,4.21,4.09,6.2,8.15,44.61,84.18,55.03,96.41,154.46,173.46,13.71,13.98,18.11,21.2,215.02,364.6,3.83,6.98,1.7,0.76,5.76
2017,남해,거제도남안,17.79,15.98,33.57,33.77,8.13,8.08,7.9,7.14,1.27,1.63,7.02,7.14,6.43,7.92,35.5,57.91,48.95,72.96,149.62,170.58,14.82,14.13,19.31,21.18,298.75,398.84,4.23,5.3,1.15,0.82,5.63
2017,남해,통영연안,17.62,16.53,33.08,33.25,8.13,8.11,8.3,7.79,1.4,1.14,10.29,11.97,5.09,6.93,26.88,31.94,42.26,50.85,179.98,180.05,13.49,12.22,22.02,22.63,298.18,377.85,6.03,8.28,2.13,2.25,3.58
2017,남해,통영외안,17.89,15.97,33.37,33.65,8.19,8.12,8.46,7.31,1.36,1.12,4.85,5.94,6.76,10.31,26.88,42.15,38.49,58.39,136.69,165.96,13.53,12.72,18.83,20.66,237.12,341.78,6.24,7.61,1.29,0.89,4.87
2017,남해,고성자란만,18,16.89,33.08,33.13,8.11,8.09,7.71,7.7,1.4,1.49,11.24,13.29,2.84,3.51,9.96,9.78,24.04,26.58,139.66,148.31,13.42,12.42,18.68,20.61,352.26,398.96,6.06,5.97,1.22,1.5,4.49
2017,남해,사천연안,17.56,16.89,33.06,33.12,8.15,8.14,7.62,7.36,1.18,1.71,14.04,13.78,2.81,3.7,16.51,14.92,33.36,32.4,157.32,181.71,16.21,14.96,30.62,30.87,296.19,308.33,7.49,8.63,1.91,1.77,3.86
2017,남해,진주만,16.59,16.28,32.87,32.89,8.14,8.14,8.62,8.37,1.28,1.49,11.37,12.44,3.08,4.64,15.03,17.62,29.49,34.7,151.06,159.46,14.38,12.76,26.11,26.9,294.12,292.15,9.25,10.93,2.16,1.93,1.9
2017,남해,남해도남안,17.84,16.35,33.15,33.43,8.21,8.15,8.18,7.22,1.24,1.26,4.99,4.87,3.95,9.11,18.48,35.8,27.41,49.78,139.89,150.26,14.26,15.21,18.75,20.23,186.69,311.12,5.77,9.21,1.05,1.16,5.8
2017,남해,광양만,17.56,16.9,32.29,32.51,8.15,8.15,8.4,8.08,1.53,1.74,46.44,49.87,5.47,5.85,30.26,29.95,82.17,85.68,224.64,226.36,15.01,16.08,30.56,29.88,339.83,341.86,11.6,13.86,2.58,2.61,2.05
